"event","screen"
"/ Quick Sale",""
"Airtime Purchase / Finish Airtime Purchase","Airtime Purchase"
"Airtime Purchase / Others","Airtime Purchase"
"Airtime Purchase / Telcel","Airtime Purchase"
"Airtime Sale / Finish Airtime Sale","Airtime Sale"
"Airtime Sale / Others","Airtime Sale"
"Airtime Sale / Telcel","Airtime Sale"
"Close Register / Cash Mismatch","Close Register"
"Closed Shop / Refer and Earn","Closed Shop"
"Closed Shop / Reports","Closed Shop"
"Control / Register operations","Control"
"Control / Tiendatek Control","Control"
"Customer Info / Cancel debts","Customer Info"
"Customer Info / Cancel Single Debt","Customer Info"
"Customer Info / Click On debt","Customer Info"
"Customer Info / Edit Customer","Customer Info"
"Customer Info / Print Debt","Customer Info"
"Customer Info / Regenerate Debt","Customer Info"
"Customer Info / Remove Customer","Customer Info"
"Customers List / Add new Customer","Customers List"
"Customers List / Click on item","Customers List"
"Customers List / Manual Customer Search","Customers List"
"Customers List / Quick Sale","Customers List"
"Expenses and mov. / Money In","Expenses and mov."
"Expenses and mov. / Money Out","Expenses and mov."
"Expenses and mov. / New Expense","Expenses and mov."
"Expenses Reminder / Cancel","Expenses Reminder"
"Expenses Reminder / No","Expenses Reminder"
"Expenses Reminder / Yes","Expenses Reminder"
"Help / Add Fast Access Products","Help"
"Help / Change User","Help"
"Help / Closed Shop","Help"
"Help / Control","Help"
"Help / Control In-app","Help"
"Help / Customer Info","Help"
"Help / Customer List","Help"
"Help / Customers List","Help"
"Help / Expenses and mov.","Help"
"Help / Home","Help"
"Help / New Product Form","Help"
"Help / New Purchase","Help"
"Help / New Sale","Help"
"Help / Other charge methods","Help"
"Help / Other Expenses","Help"
"Help / Product Info","Help"
"Help / Products","Help"
"Help / Purchase Suggester","Help"
"Help / Register Operations","Help"
"Help / Sale/Purchase Item Form","Help"
"Help / Supplier History","Help"
"Help / Suppliers List","Help"
"Home / Change User","Home"
"Home / Check for Update","Home"
"Home / Close My Shop","Home"
"Home / Close Register - Settings","Home"
"Home / Control","Home"
"Home / Customers Section","Home"
"Home / Expenses and mov. Section","Home"
"Home / Finish test period","Home"
"Home / Open Camera Scanner","Home"
"Home / Open Chat","Home"
"Home / Products Section","Home"
"Home / Quick Sale","Home"
"Home / Refer and earn","Home"
"Home / Settings","Home"
"Home / Start New Sale Scanner","Home"
"Home / Start New Sale Touch","Home"
"Home / Suppliers and Purchases","Home"
"Home / Synchronize","Home"
"Level Update / Products","Level Update"
"Level Update / Purchases","Level Update"
"Level Update / Sales","Level Update"
"Login / I forgot my password","Login"
"main / onHelpCentreClick","main"
"New Empty Purchase / Adding by Price","New Empty Purchase"
"New Empty Purchase / Cancel","New Empty Purchase"
"New Empty Purchase / Click on item","New Empty Purchase"
"New Empty Purchase / Empty Purchase","New Empty Purchase"
"New Empty Purchase / Manual Product Search","New Empty Purchase"
"New Empty Purchase / Next","New Empty Purchase"
"New Empty Purchase / Open Camera Scanner","New Empty Purchase"
"New Empty Purchase / Quick Access","New Empty Purchase"
"New Empty Purchase / Quick Sale","New Empty Purchase"
"New Empty Purchase / Remove Product","New Empty Purchase"
"New Empty Purchase / Switch to Purchase List","New Empty Purchase"
"New Empty Purchase / Undo Remove Product","New Empty Purchase"
"New Product / Add to quick access","New Product"
"New Product / Cancel","New Product"
"New Product / Changed Cost","New Product"
"New Product / Changed Price","New Product"
"New Product / Changed Stock","New Product"
"New Product / Changed Stockout Alert","New Product"
"New Product / Changed Weight","New Product"
"New Product / Click On Alert","New Product"
"New Product / Click On Stock","New Product"
"New Product / Click On Unit Cost","New Product"
"New Product / Click On Unit Price","New Product"
"New Product / Click On Weight","New Product"
"New Product / From MLP","New Product"
"New Product / Not From MLP","New Product"
"New Product / null","New Product"
"New Product / Quick Sale","New Product"
"New Product / Save","New Product"
"New Product Form / Finish Video Help","New Product Form"
"New Product Form / Open Video Help","New Product Form"
"New Product No-MLP / Asking","New Product No-MLP"
"New Product No-MLP / Sold By Units","New Product No-MLP"
"New Product No-MLP / Sold By Weight","New Product No-MLP"
"New Sale / Add Product to List","New Sale"
"New Sale / Adding by Price","New Sale"
"New Sale / Adding by Weight","New Sale"
"New Sale / Cancel","New Sale"
"New Sale / Cash","New Sale"
"New Sale / Click on item","New Sale"
"New Sale / Finish Video Help","New Sale"
"New Sale / Manual Product Search","New Sale"
"New Sale / Open Airtime","New Sale"
"New Sale / Open Camera Scanner","New Sale"
"New Sale / Open Video Help","New Sale"
"New Sale / Other charge methods","New Sale"
"New Sale / Quick Access","New Sale"
"New Sale / Quick Sale","New Sale"
"New Sale / Remove Item","New Sale"
"New Suggested Purchase / Add Product to List","New Suggested Purchase"
"New Suggested Purchase / Add Product to List Swipe","New Suggested Purchase"
"New Suggested Purchase / Adding by Price","New Suggested Purchase"
"New Suggested Purchase / Cancel","New Suggested Purchase"
"New Suggested Purchase / Click on item","New Suggested Purchase"
"New Suggested Purchase / Empty Purchase","New Suggested Purchase"
"New Suggested Purchase / Manual Product Search","New Suggested Purchase"
"New Suggested Purchase / Next","New Suggested Purchase"
"New Suggested Purchase / Open Camera Scanner","New Suggested Purchase"
"New Suggested Purchase / Quick Access","New Suggested Purchase"
"New Suggested Purchase / Quick Sale","New Suggested Purchase"
"New Suggested Purchase / Remove Product","New Suggested Purchase"
"New Suggested Purchase / Remove Product Swipe","New Suggested Purchase"
"New Suggested Purchase / Switch to Others List","New Suggested Purchase"
"New Suggested Purchase / Switch to Purchase List","New Suggested Purchase"
"New Suggested Purchase / Undo Add Product to List","New Suggested Purchase"
"New Suggested Purchase / Undo Add Product To List Swipe","New Suggested Purchase"
"New Suggested Purchase / Undo Remove Product","New Suggested Purchase"
"New Suggested Purchase / Undo Remove Product Swipe","New Suggested Purchase"
"Order Confirmation / Print","Order Confirmation"
"Order Confirmation / Receive and Pay With Cash","Order Confirmation"
"Order Confirmation / Receive and Pay With Credit","Order Confirmation"
"Order Confirmation / Save","Order Confirmation"
"Performance rate / Stars touched","Performance rate"
"Precios sugeridos / Precio Aceptado","Precios sugeridos"
"Precios sugeridos / Precio Rechazado","Precios sugeridos"
"Printer / Connected","Printer"
"Printer / Disconnected","Printer"
"Product Info / Add to quick access","Product Info"
"Product Info / Changed Cost","Product Info"
"Product Info / Changed Price","Product Info"
"Product Info / Changed Stock","Product Info"
"Product Info / Changed Stockout Alert","Product Info"
"Product Info / Changed Weight","Product Info"
"Product Info / Click On Alert","Product Info"
"Product Info / Click On Cost Help","Product Info"
"Product Info / Click On Stock","Product Info"
"Product Info / Click On Unit Cost","Product Info"
"Product Info / Click On Unit Price","Product Info"
"Product Info / Click On Weight","Product Info"
"Product Info / Edit Product Name","Product Info"
"Product Info / Finish Video Help","Product Info"
"Product Info / Open Video Help","Product Info"
"Product Info / Quick Sale","Product Info"
"Product Info / Remove Confirmation","Product Info"
"Product Info / Removed","Product Info"
"Products / Click on item","Products"
"Products / Manual Product Search","Products"
"Products / Open Camera Scanner","Products"
"Products / Quick Sale","Products"
"Purchase history / Cancel debts","Purchase history"
"Purchase history / Cancel Single Debt","Purchase history"
"Purchase history / Click on item","Purchase history"
"Purchase Item Form / Accept","Purchase Item Form"
